CustomerID,Age,Segment,Region,City
C00001,36,Corporate,West,Pune
C00002,30,Consumer,North,Jaipur
C00003,29,Consumer,South,Hyderabad
C00004,29,Small Business,West,Pune
C00005,46,Consumer,East,Kolkata
C00006,38,Small Business,West,Pune
C00007,27,Consumer,South,Hyderabad
C00008,36,Consumer,West,Mumbai
C00009,34,Consumer,East,Bhubaneswar
C00010,18,Consumer,East,Patna
C00011,22,Consumer,West,Mumbai
C00012,34,Consumer,East,Patna
C00013,45,Consumer,North,Jaipur
C00014,29,Consumer,South,Chennai
C00015,27,Consumer,West,Pune
C00016,32,Consumer,East,Kolkata
C00017,26,Corporate,North,Lucknow
C00018,29,Consumer,North,Delhi
C00019,31,Consumer,East,Kolkata
C00020,22,Small Business,East,Kolkata
C00021,39,Consumer,North,Lucknow
C00022,21,Consumer,South,Bengaluru
C00023,20,Small Business,West,Mumbai
C00024,33,Corporate,North,Delhi
C00025,38,Consumer,South,Bengaluru
C00026,33,Consumer,East,Patna
C00027,30,Consumer,East,Patna
C00028,29,Consumer,South,Chennai
C00029,27,Consumer,North,Jaipur
C00030,41,Consumer,North,Delhi
C00031,34,Consumer,South,Hyderabad
C00032,28,Small Business,South,Mysuru
C00033,25,Consumer,East,Patna
C00034,37,Small Business,South,Chennai
C00035,41,Corporate,West,Mumbai
C00036,40,Consumer,West,Ahmedabad
C00037,24,Small Business,East,Patna
C00038,29,Corporate,West,Mumbai
C00039,27,Consumer,North,Jaipur
C00040,30,Consumer,East,Guwahati
C00041,39,Small Business,East,Bhubaneswar
C00042,44,Consumer,North,Jaipur
C00043,35,Corporate,South,Chennai
C00044,26,Consumer,East,Guwahati
C00045,31,Consumer,North,Jaipur
C00046,46,Consumer,South,Mysuru
C00047,32,Consumer,West,Pune
C00048,29,Consumer,West,Mumbai
C00049,30,Consumer,South,Mysuru
C00050,35,Corporate,West,Nashik
C00051,24,Small Business,East,Guwahati
C00052,27,Small Business,North,Delhi
C00053,40,Small Business,West,Ahmedabad
C00054,34,Consumer,North,Delhi
C00055,32,Small Business,North,Chandigarh
C00056,40,Small Business,South,Mysuru
C00057,25,Consumer,West,Ahmedabad
C00058,29,Consumer,South,Bengaluru
C00059,34,Consumer,North,Jaipur
C00060,34,Consumer,South,Chennai
C00061,19,Consumer,South,Bengaluru
C00062,28,Consumer,North,Chandigarh
C00063,30,Consumer,West,Pune
C00064,35,Corporate,North,Lucknow
C00065,34,Small Business,South,Bengaluru
C00066,31,Consumer,South,Bengaluru
C00067,18,Consumer,West,Nashik
C00068,31,Consumer,West,Mumbai
C00069,32,Consumer,South,Mysuru
C00070,54,Consumer,South,Chennai
C00071,30,Consumer,East,Bhubaneswar
C00072,34,Consumer,South,Chennai
C00073,42,Consumer,East,Patna
C00074,38,Corporate,East,Guwahati
C00075,44,Corporate,West,Mumbai
C00076,19,Consumer,South,Bengaluru
C00077,23,Consumer,North,Delhi
C00078,26,Consumer,South,Hyderabad
C00079,18,Corporate,West,Pune
C00080,32,Consumer,West,Mumbai
C00081,23,Small Business,West,Pune
C00082,45,Consumer,North,Delhi
C00083,24,Small Business,South,Chennai
C00084,29,Small Business,East,Bhubaneswar
C00085,39,Small Business,South,Mysuru
C00086,20,Consumer,South,Mysuru
C00087,18,Consumer,East,Bhubaneswar
C00088,33,Small Business,West,Pune
C00089,34,Consumer,East,Patna
C00090,39,Consumer,East,Guwahati
C00091,36,Small Business,East,Kolkata
C00092,34,Corporate,West,Pune
C00093,25,Consumer,East,Patna
C00094,34,Small Business,West,Mumbai
C00095,34,Consumer,South,Hyderabad
C00096,25,Consumer,East,Bhubaneswar
C00097,48,Corporate,East,Bhubaneswar
C00098,36,Consumer,North,Chandigarh
C00099,23,Consumer,South,Bengaluru
C00100,39,Corporate,East,Kolkata
C00101,40,Corporate,West,Pune
C00102,35,Consumer,West,Mumbai
C00103,29,Consumer,South,Mysuru
C00104,25,Consumer,East,Guwahati
C00105,31,Small Business,South,Mysuru
C00106,35,Corporate,West,Mumbai
C00107,32,Consumer,East,Kolkata
C00108,45,Consumer,East,Patna
C00109,37,Consumer,East,Patna
C00110,24,Consumer,East,Guwahati
C00111,22,Small Business,South,Hyderabad
C00112,36,Small Business,North,Jaipur
C00113,29,Consumer,West,Pune
C00114,38,Small Business,North,Delhi
C00115,36,Small Business,West,Nashik
C00116,31,Small Business,South,Bengaluru
C00117,24,Small Business,West,Mumbai
C00118,18,Consumer,West,Pune
C00119,33,Small Business,South,Mysuru
C00120,20,Corporate,West,Mumbai
C00121,24,Consumer,West,Pune
C00122,33,Small Business,East,Patna
C00123,32,Small Business,North,Jaipur
C00124,21,Corporate,North,Jaipur
C00125,41,Consumer,North,Chandigarh
C00126,41,Consumer,South,Chennai
C00127,36,Small Business,East,Patna
C00128,36,Small Business,West,Pune
C00129,36,Corporate,East,Kolkata
C00130,65,Corporate,West,Mumbai
C00131,40,Small Business,North,Jaipur
C00132,37,Consumer,North,Delhi
C00133,25,Consumer,South,Chennai
C00134,29,Consumer,North,Jaipur
C00135,52,Consumer,East,Patna
C00136,18,Consumer,West,Ahmedabad
C00137,27,Consumer,West,Mumbai
C00138,41,Consumer,North,Delhi
C00139,25,Corporate,West,Mumbai
C00140,38,Consumer,North,Lucknow
C00141,32,Consumer,South,Chennai
C00142,26,Corporate,South,Chennai
C00143,18,Corporate,East,Patna
C00144,33,Consumer,West,Pune
C00145,24,Consumer,East,Patna
C00146,30,Small Business,West,Pune
C00147,36,Consumer,North,Jaipur
C00148,39,Consumer,North,Jaipur
C00149,27,Consumer,East,Guwahati
C00150,26,Corporate,West,Pune
C00151,20,Small Business,West,Mumbai
C00152,40,Corporate,West,Ahmedabad
C00153,51,Consumer,South,Mysuru
C00154,41,Consumer,South,Bengaluru
C00155,43,Consumer,North,Lucknow
C00156,25,Consumer,West,Ahmedabad
C00157,35,Consumer,South,Hyderabad
C00158,38,Consumer,West,Ahmedabad
C00159,18,Consumer,East,Bhubaneswar
C00160,22,Consumer,South,Hyderabad
C00161,46,Corporate,South,Mysuru
C00162,19,Consumer,West,Mumbai
C00163,44,Consumer,North,Chandigarh
C00164,19,Small Business,South,Chennai
C00165,23,Consumer,South,Bengaluru
C00166,36,Corporate,East,Kolkata
C00167,32,Small Business,East,Bhubaneswar
C00168,28,Consumer,South,Mysuru
C00169,46,Consumer,North,Lucknow
C00170,20,Consumer,South,Hyderabad
C00171,30,Small Business,West,Mumbai
C00172,37,Small Business,East,Patna
C00173,34,Consumer,North,Delhi
C00174,26,Consumer,North,Lucknow
C00175,26,Consumer,East,Patna
C00176,39,Corporate,West,Pune
C00177,40,Corporate,North,Jaipur
C00178,34,Small Business,North,Delhi
C00179,24,Corporate,West,Nashik
C00180,26,Small Business,North,Lucknow
C00181,31,Consumer,East,Kolkata
C00182,33,Corporate,East,Bhubaneswar
C00183,36,Small Business,North,Delhi
C00184,30,Consumer,East,Kolkata
C00185,39,Consumer,South,Chennai
C00186,39,Small Business,East,Kolkata
C00187,43,Consumer,North,Lucknow
C00188,32,Small Business,West,Ahmedabad
C00189,34,Small Business,North,Chandigarh
C00190,30,Consumer,North,Chandigarh
C00191,24,Consumer,North,Jaipur
C00192,50,Consumer,South,Mysuru
C00193,42,Corporate,East,Bhubaneswar
C00194,39,Corporate,North,Chandigarh
C00195,31,Consumer,West,Ahmedabad
C00196,23,Consumer,North,Jaipur
C00197,40,Consumer,East,Patna
C00198,30,Consumer,East,Guwahati
C00199,35,Consumer,East,Bhubaneswar
C00200,26,Consumer,East,Bhubaneswar
C00201,34,Consumer,West,Ahmedabad
C00202,27,Small Business,North,Delhi
C00203,27,Consumer,South,Chennai
